,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000130844.21,38.5505094134563,0.551898233765719,0.498253275708486,1.10766604189597,0.268006070124741,0.719585788832414
ENSG00000136270.16,112.697927503527,0.353223225688475,0.318948697548548,1.10746094404323,0.268094689223673,0.719585788832414
ENSG00000138303.21,68.0294480393937,-0.431423131524232,0.389598620259576,-1.1073528218267,0.268141414995285,0.719585788832414
ENSG00000143398.22,298.11720636828,-0.241621984514024,0.218265313728685,-1.10701045615691,0.268289407619091,0.719585788832414
ENSG00000165886.7,15.2161473537477,-0.88661480486155,0.800386295694116,-1.10773361516973,0.267976877335393,0.719585788832414
ENSG00000166479.12,195.318520144071,0.320510943591778,0.289535423924735,1.10698352293878,0.268301052281112,0.719585788832414
ENSG00000168872.19,99.0137782548535,-0.367768352599974,0.332420962508507,-1.10633321624704,0.268582319834294,0.719585788832414
ENSG00000205707.13,8.93036780622606,1.18477065172867,1.07091482549692,1.10631641613414,0.268589588821384,0.719585788832414
ENSG00000241258.10,69.7560222202322,-0.433425551026474,0.391729147356855,-1.10644192282081,0.268535288494248,0.719585788832414
ENSG00000291105.2,14.253027093046,0.936008504816684,0.846137321828153,1.10621347229355,0.268634132987174,0.719585788832414
ENSG00000113068.12,386.242923804324,-0.222518550136676,0.201233185580683,-1.10577462407392,0.268824081080908,0.719696814963013
ENSG00000118873.19,93.8544384455473,-0.374153336026815,0.338312265372884,-1.10594079589289,0.268752145549747,0.719696814963013
ENSG00000139496.20,103.828288262399,-0.394890843506093,0.357163231455767,-1.10563128767917,0.268886141810348,0.719696814963013
ENSG00000172840.9,26.1128160988208,-0.695090332237007,0.629148315618288,-1.10481156029785,0.269241250275592,0.72045923286167
ENSG00000127837.12,249.455038721864,0.285335799268976,0.258529906562111,1.10368584843172,0.269729436501153,0.721489626458852
ENSG00000261884.2,15.27520868066,-0.87456196084628,0.792463390458024,-1.10359919635001,0.269767039969109,0.721489626458852
ENSG00000005075.18,32.305281333872,0.602056618519428,0.545883662183076,1.10290279821108,0.270069378939277,0.721767213828318
ENSG00000073050.14,54.5180511758704,0.472364769101024,0.428466757911864,1.10245371520324,0.270264470057744,0.721767213828318
ENSG00000095587.11,12.2083550972671,-0.972945680781354,0.882710013388339,-1.10222572081928,0.27036355259553,0.721767213828318
ENSG00000117000.10,31.0405684998773,-0.705135346789046,0.639656435856809,-1.10236575020859,0.27030269521957,0.721767213828318
ENSG00000144566.13,145.91652044233,-0.37736430824851,0.342089107520882,-1.1031169948183,0.269976361448307,0.721767213828318
ENSG00000167173.21,14.0251458480263,0.977745104982106,0.88689443145004,1.10243685190754,0.270271797710601,0.721767213828318
ENSG00000275498.5,259.847876168741,0.302236437176902,0.274056994556955,1.10282329289023,0.270103910687773,0.721767213828318
ENSG00000140526.20,108.022363633882,0.379142547694708,0.344394491286388,1.10089608657365,0.270941885481924,0.722934710833113
ENSG00000251201.8,13.0669783829393,1.42666825804471,1.29588579157663,1.10092129053206,0.270930914983165,0.722934710833113
